Marque,Libellé modèle,Modèle,Groupe,Description Commerciale,Energie,Carrosserie,Cylindrée,Gamme,Puissance fiscale,Puissance maximale,Puissance nominale électrique,Poids à vide,Rapport poids-puissance,Type de boite,Nombre rapports,Autonomie elec Min,Autonomie elec Max,Autonomie elec urbain Min,Autonomie elec urbain Max,Essai CO2 type 1,Essai HC,Essai Nox,Essai HCNox,Essai particules,Masse OM Min,Masse OM Max,Bonus-Malus,Barème Bonus-Malus,Prix véhicule,Conso basse vitesse Avg,Conso moyenne vitesse Avg,Conso haute vitesse Avg,Conso T-haute vitesse Avg,Conso vitesse mixte Avg,Conso elec Avg,CO2 basse vitesse Avg,CO2 moyenne vitesse Avg,CO2 haute vitesse Avg,CO2 T-haute vitesse Avg,CO2 vitesse mixte Avg
SKODA,OCTAVIA,OCTAVIA,VGF,OCTAVIA Berline 1.0 TSI (110ch) DSG7 mHEV famille A,ESS+ELEC HNR,BERLINE,999,MOYENNE SUPERIEURE,6,81.0,0.0,1266,0.06,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.103,0.019,0.035,-1.0,0.0,1341,1341,Neutre 0,11900.0,30457,6.425000000000001,4.9465,4.4195,5.246,5.087,-1.0,146.115,112.45,100.44,119.265,115.65
B.M.W.,SERIE X,X3,AUTRES,X3 xDrive18d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,1995,SUPERIEURE,8,110.0,0.0,1810,0.06,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.159,-1.0,0.023,0.061,0.0,1885,1885,Malus,12771.0,55100,6.8605,5.7485,5.3469999999999995,6.5375,6.053,-1.0,179.7,150.51,139.975,171.23,158.5
FORD,FIESTA,FIESTA,FORD,FIESTA 1.0 Ecoboost Hybrid (125ch) S&S (mHEV) Powershift,ESS+ELEC HNR,BERLINE,999,INFERIEURE,6,91.9,7.3,1136,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.309,0.034,0.014,-1.0,0.001,1211,1323,Neutre 0,11900.0,24190,6.7325,5.004,4.782,5.890499999999999,5.48,-1.0,152.015,112.86,107.825,132.95,123.645
B.M.W.,SERIE 2,218,AUTRES,218i Gran Coupé,ESSENCE,BERLINE,1499,MOYENNE INFERIEURE,7,100.0,-1.0,1350,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.291,0.024,0.018,-1.0,0.001,1425,1425,Malus,125.0,38363,8.035499999999999,6.041,5.3725000000000005,6.3215,6.2,-1.0,183.025,137.47,122.21000000000001,143.85999999999999,141.1
KIA,SPORTAGE,SPORTAGE,HYUNDAI,SPORTAGE 1.6 essence T-GDi (150ch) MHEV iBVM6,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1598,MOYENNE SUPERIEURE,8,110.1,7.94,1486,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.193,0.023,0.027,-1.0,0.0,1561,1561,Malus,11923.0,34078,8.1065,6.439,5.6675,6.9864999999999995,6.6175,-1.0,184.165,146.225,128.665,158.685,150.28500000000003
VOLKSWAGEN,GOLF,GOLF,VGF,GOLF 1.5 eTSI (150ch) DSG7 ess ar Mbr ss+r 16'' EU6AP FIA,ESS+ELEC HNR,BERLINE,1498,MOYENNE INFERIEURE,8,110.0,0.0,1290,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.135,0.021,0.019,-1.0,0.0,1365,1365,Neutre 0,11900.0,32478,7.45,5.34,4.7115,5.561,5.5055,-1.0,169.17000000000002,121.185,106.88,126.21,124.945
B.M.W.,SERIE 5,530,AUTRES,530d xDrive Touring,GAZ+ELEC HNR,BREAK,2993,LUXE,17,210.0,0.0,1925,0.11,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.112,-1.0,0.052,0.073,0.0,2000,2000,Malus,13929.0,72588,8.777999999999999,6.0965,5.346500000000001,5.865,6.140499999999999,-1.0,229.89499999999998,159.615,139.935,153.54500000000002,160.75
B.M.W.,SERIE X,X2,AUTRES,X2 sDrive16d,GAZOLE,TS TERRAINS/CHEMINS,1496,MOYENNE SUPERIEURE,6,85.0,-1.0,1475,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.124,-1.0,0.02,0.049,0.0,1550,1550,Malus,170.0,40617,6.1345,5.465,4.856999999999999,5.534000000000001,5.3919999999999995,-1.0,160.70499999999998,143.13,127.18,144.94,141.2
MERCEDES,CLASSE C,C 200,AUTRES,C 220 d,GAZ+ELEC HNR,BREAK,1993,SUPERIEURE,9,120.0,10.0,1705,0.07,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.064,-1.0,0.007,0.014,0.0,1780,1780,Neutre 0,11900.0,55683,6.411,4.736,4.066,4.6045,4.7065,-1.0,168.29500000000002,124.295,106.695,120.83500000000001,123.5
FIAT,500X,500X,STELLANTIS,500X 1.6 MultiJet (130ch),GAZOLE,TS TERRAINS/CHEMINS,1598,INFERIEURE,7,96.0,-1.0,1430,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.037,-1.0,0.077,0.091,0.0,1505,1505,Malus,125.0,33404,6.3735,5.0344999999999995,4.395,5.4175,5.1515,-1.0,167.035,131.93,115.16499999999999,141.97,135.0
DACIA,SANDERO,SANDERO,RENAULT,SANDERO (101ch),ESS+G.P.L.,BERLINE,999,INFERIEURE,5,67.0,-1.0,1107,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.39,0.038,0.02,-1.0,-1.0,1182,1211,Neutre 0,-1.0,12940,7.01,5.0825,4.7219999999999995,5.7315000000000005,5.458,-1.0,158.29500000000002,114.58500000000001,106.4,129.3,123.1
DACIA,SANDERO,SANDERO,RENAULT,SANDERO (101ch),ESS+G.P.L.,BERLINE,999,INFERIEURE,5,74.0,-1.0,1107,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.569,0.041,0.038,-1.0,-1.0,1182,1211,Neutre 0,-1.0,12940,10.048,6.6739999999999995,5.9879999999999995,7.146000000000001,7.0795,-1.0,139.535,101.995,94.345,114.945,109.225
RENAULT,MEGANE,MEGANE,RENAULT,MEGANE Estate (115ch),GAZOLE,BREAK,1461,MOYENNE INFERIEURE,6,85.0,-1.0,1373,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.171,-1.0,0.021,0.082,0.0,1448,1448,Neutre 0,-1.0,32775,5.5135000000000005,4.836,4.208,4.995,4.789,-1.0,144.26,126.475,109.995,130.65,125.25
RENAULT,CAPTUR,CAPTUR,RENAULT,CAPTUR (158ch+0Kw),ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,INFERIEURE,8,116.0,0.0,1298,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.45,0.013,0.027,-1.0,0.0,1373,1373,Malus,11906.0,30200,7.584,5.839499999999999,5.156000000000001,6.3865,6.0555,-1.0,171.57999999999998,131.95,116.41999999999999,144.38,136.85000000000002
HYUNDAI,SANTA FE,SANTA FE,HYUNDAI,SANTA FE 1.6 T-GDi Hybrid (230ch) BVA6 Creative,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1598,MOYENNE SUPERIEURE,10,132.2,14.7,1780,0.07,AUTOMATIQUE,6,-1.0,-1.0,-1.0,-1.0,0.125,0.013,0.01,-1.0,0.0,1855,1855,Malus,12474.0,49683,6.7855,5.6274999999999995,5.612500000000001,8.1375,6.667,-1.0,154.185,127.845,127.49499999999999,184.95499999999998,151.5
HYUNDAI,TUCSON,TUCSON,HYUNDAI,TUCSON T-GDi (150ch) iBVM Hybrid 48V Intuitive,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1598,MOYENNE SUPERIEURE,8,110.1,7.94,1463,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.193,0.023,0.027,-1.0,0.0,1538,1538,Malus,11921.0,32400,8.1065,6.439,5.6675,6.9864999999999995,6.6175,-1.0,184.165,146.225,128.665,158.685,150.28500000000003
VOLKSWAGEN,T-ROC,T-ROC,VGF,T-ROC 1.5 TSI (150ch) BVM6 16/17'' rlt fbl résist EU6AP FIA éqt gnI Freins 15'',ESSENCE,TS TERRAINS/CHEMINS,1498,INFERIEURE,8,110.0,-1.0,1270,0.09,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.115,0.013,0.018,-1.0,0.0,1345,1345,Malus,240.0,34790,7.792,5.865,5.1705000000000005,6.1114999999999995,5.9945,-1.0,175.865,132.31,116.61500000000001,137.885,135.25
FIAT,TIPO,TIPO,STELLANTIS,TIPO 5P 1.0 Firefly (100ch),ESSENCE,BERLINE,999,MOYENNE INFERIEURE,5,73.3,-1.0,1240,0.06,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.749,0.034,0.019,-1.0,0.0,1315,1315,Neutre 0,-1.0,21690,7.2940000000000005,5.567,4.923500000000001,5.933,5.7285,-1.0,165.36,125.905,111.22,134.27,129.6
MINI,MINI,COUNTRYMAN,B.M.W.,MINI John Cooper Works ALL4 Countryman (F60),ESSENCE,TS TERRAINS/CHEMINS,1998,INFERIEURE,19,225.0,-1.0,1605,0.14,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.314,0.012,0.012,-1.0,0.0,1680,1680,Malus,10980.0,51800,10.7595,7.85,6.84,7.849,7.9254999999999995,-1.0,245.59,179.07,155.97500000000002,179.04500000000002,180.8
FORD,FIESTA,FIESTA,FORD,FIESTA 1.0 Flexifuel (95ch) S&S BVM6,SUPERETHANOL,BERLINE,999,INFERIEURE,5,69.9,-1.0,1114,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.393,0.036,0.01,-1.0,0.0,1189,1307,Neutre 0,-1.0,23090,9.5075,7.2295,6.699,8.2335,7.725499999999999,-1.0,155.78,118.38999999999999,109.685,134.87,126.53
B.M.W.,SERIE 2,220,AUTRES,220i Active Tourer,ESS+ELEC HNR,MONOSPACE COMPACT,1499,MOYENNE INFERIEURE,8,115.0,10.5,1520,0.08,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.181,0.009,0.015,-1.0,0.0,1595,1595,Malus,11908.0,38638,8.649000000000001,6.0,5.3275,6.2245,6.225,-1.0,196.985,136.57,121.22999999999999,141.69,141.7
VOLKSWAGEN,CADDY,CADDY,VGF,CADDY 5 MAXI Caddy/Life/Style 1.5 TSI (114ch) DSG7,ESSENCE,COMBISPACE,1498,INFERIEURE,6,84.0,-1.0,1581,0.05,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.212,0.028,0.029,-1.0,0.0,1656,1656,Malus,1901.0,37713,8.825,6.8525,5.827,7.1884999999999994,6.9185,-1.0,200.315,155.45,132.135,163.09,156.95
MERCEDES,CLASSE V,V 250,AUTRES,V 250 d (190ch) BlueEFFICIENCY long,GAZOLE,MONOSPACE,1950,SUPERIEURE,10,140.0,-1.0,2067,0.07,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.116,-1.0,0.022,0.037,0.0,2142,2142,Malus,23061.0,78399,9.955,7.6965,6.686999999999999,7.994,7.792,-1.0,260.695,201.51,175.05,209.3,204.0
B.M.W.,SERIE 4,430,AUTRES,430d xDrive Coupe,GAZ+ELEC HNR,COUPE,2993,MOYENNE SUPERIEURE,17,210.0,0.0,1780,0.12,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.123,-1.0,0.041,0.055,0.001,1855,1855,Malus,12470.0,62850,8.087,5.503,4.810499999999999,5.422000000000001,5.6045,-1.0,211.97500000000002,144.19,126.005,142.05,146.85
FORD,FIESTA,FIESTA,FORD,FIESTA 1.0 Flexifuel (95ch) S&S BVM6,SUPERETHANOL,BERLINE,999,INFERIEURE,5,69.9,-1.0,1114,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.393,0.036,0.01,-1.0,0.0,1189,1307,Neutre 0,-1.0,21340,9.5075,7.2295,6.699,8.2335,7.725499999999999,-1.0,155.78,118.38999999999999,109.685,134.87,126.53
B.M.W.,SERIE 4,420,AUTRES,420d Gran Coupe,GAZ+ELEC HNR,BERLINE,1995,MOYENNE SUPERIEURE,10,140.0,0.0,1705,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.112,-1.0,0.017,0.045,0.0,1780,1780,Malus,11912.0,56383,6.4079999999999995,4.9655000000000005,4.5785,5.2155000000000005,5.127,-1.0,167.905,130.07,119.91,136.625,134.3
SKODA,KODIAQ,KODIAQ,VGF,Kodiaq Laurin&Klement 1.5 TSI (150ch) DSG7 4x2. 7PL. classe B,ESSENCE,TS TERRAINS/CHEMINS,1498,SUPERIEURE,8,110.0,-1.0,1637,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.243,0.025,0.02,-1.0,0.0,1712,1712,Malus,3784.0,33820,8.993500000000001,6.922499999999999,6.0075,7.0585,6.9645,-1.0,204.14,157.04500000000002,136.23000000000002,160.135,158.0
FIAT,TIPO,TIPO,STELLANTIS,TIPO 5P 1.0 Firefly (100ch),ESSENCE,BERLINE,999,MOYENNE INFERIEURE,5,73.3,-1.0,1260,0.06,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.749,0.034,0.019,-1.0,0.0,1335,1335,Malus,75.0,23540,7.2940000000000005,5.567,4.923500000000001,5.933,5.7285,-1.0,165.36,125.905,111.22,134.27,129.6
JEEP,COMPASS,COMPASS,STELLANTIS,1.5 Turbo T4 (130ch) BVR7 Longitude/Longitude Pack Business/Night Eagle/Limited/Upland/S,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1469,MOYENNE SUPERIEURE,7,96.0,8.0,1500,0.06,MECANIQUE,7,-1.0,-1.0,-1.0,-1.0,0.28,0.041,0.013,-1.0,0.0,1575,1575,Malus,11906.0,40533,4.862,5.728,5.2755,6.9015,5.8895,-1.0,110.53,130.31,119.97,157.10000000000002,134.0
NISSAN,QASHQAI,QASHQAI,NISSAN,Mild Hybrid (158ch) Xtronic i-4x4 N-CONNECTA/TEKNA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,MOYENNE SUPERIEURE,8,116.0,0.0,1457,0.08,VARIATION CONTINUE,1,-1.0,-1.0,-1.0,-1.0,0.312,0.015,0.024,-1.0,0.0,1532,1532,Malus,11930.0,42920,9.0165,6.7555,6.0335,7.4135,7.067,-1.0,203.625,152.435,136.095,167.335,159.5
B.M.W.,SERIE X,X6,AUTRES,X6 xDrive40d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,2993,LUXE,22,250.0,0.0,2215,0.11,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.096,-1.0,0.025,0.038,0.001,2290,2290,Malus,16858.0,89225,10.2405,6.797499999999999,6.0255,7.2545,7.18,-1.0,268.51,178.17000000000002,157.9,190.16,188.2
HYUNDAI,I 20,I 20,HYUNDAI,i20 1.0 T-GDi (100ch) DCT-7 hybrid 48V Creative / Executive,ESS+ELEC HNR,BERLINE,998,INFERIEURE,5,73.5,7.94,1115,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.15,0.027,0.025,-1.0,0.0,1190,1190,Neutre 0,11900.0,23800,6.6915,5.1114999999999995,4.5375,5.6955,5.352,-1.0,152.12,116.13499999999999,103.05,129.425,121.61
CITROEN,BERLINGO,BERLINGO,STELLANTIS,BERLINGO 1.5l Blue-Hdi (130ch) S&S BVM6,GAZOLE,COMBISPACE,1499,INFERIEURE,7,96.0,-1.0,1540,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.053,-1.0,0.049,0.053,0.0,1615,1615,Malus,360.0,30250,5.423500000000001,5.019500000000001,4.761,6.2255,5.4215,-1.0,142.24,131.64499999999998,124.85,163.275,142.185
MERCEDES,CLASSE V,V 250,AUTRES,V 250 d (190ch) BlueEFFICIENCY extra-long,GAZOLE,MONOSPACE,1950,SUPERIEURE,10,140.0,-1.0,2092,0.07,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.116,-1.0,0.022,0.037,0.0,2167,2167,Malus,24841.0,74793,9.955,7.6965,6.686999999999999,7.994,7.792,-1.0,260.695,201.51,175.05,209.3,204.0
FORD,FIESTA,FIESTA,FORD,FIESTA 1.0 Flexifuel (95ch) S&S BVM6,SUPERETHANOL,BERLINE,999,INFERIEURE,5,69.9,-1.0,1114,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.393,0.037,0.011,-1.0,0.0,1189,1307,Neutre 0,-1.0,23090,9.5075,7.2295,6.699,8.2335,7.725499999999999,-1.0,155.78,118.38999999999999,109.685,134.87,126.53
DACIA,DUSTER,DUSTER,RENAULT,DUSTER (130ch),ESSENCE,TS TERRAINS/CHEMINS,1332,INFERIEURE,7,96.0,-1.0,1246,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.252,0.015,0.013,-1.0,0.0,1321,1378,Malus,330.0,20975,7.343,5.715,5.461,6.9399999999999995,6.2875,-1.0,166.405,129.4,123.625,157.225,142.42000000000002
RENAULT,SCENIC,SCENIC,RENAULT,SCENIC (140ch),ESSENCE,MONOSPACE COMPACT,1332,MOYENNE INFERIEURE,7,103.0,-1.0,1427,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.312,0.011,0.014,-1.0,0.0,1502,1502,Malus,400.0,33900,8.061,6.346500000000001,5.7235,6.8675,6.567500000000001,-1.0,182.375,143.48000000000002,129.35500000000002,155.305,148.5
DACIA,DUSTER,DUSTER,RENAULT,DUSTER (101ch),ESS+G.P.L.,TS TERRAINS/CHEMINS,999,INFERIEURE,5,67.0,-1.0,1297,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.632,0.053,0.015,-1.0,-1.0,1372,1388,Neutre 0,-1.0,18685,7.69,5.9555,5.6225000000000005,7.045,6.4704999999999995,-1.0,173.615,134.20499999999998,126.63499999999999,158.96499999999997,145.9
DACIA,DUSTER,DUSTER,RENAULT,DUSTER (101ch),ESS+G.P.L.,TS TERRAINS/CHEMINS,999,INFERIEURE,5,74.0,-1.0,1297,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.388,0.018,0.026,-1.0,-1.0,1372,1388,Neutre 0,-1.0,18685,9.4725,7.198,6.8185,8.65,7.899,-1.0,150.17,116.65,110.605,140.52499999999998,127.72
NISSAN,QASHQAI,QASHQAI,NISSAN,Mild Hybrid (140ch) 6MT N-CONNECTA/TEKNA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,MOYENNE SUPERIEURE,7,103.0,0.0,1329,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.314,0.012,0.017,-1.0,0.0,1404,1404,Malus,11919.0,34540,8.6165,6.428000000000001,5.5535,6.6129999999999995,6.515499999999999,-1.0,194.565,145.02,125.21,149.21,147.0
FIAT,500,500,STELLANTIS,595 1.4 T-Jet (180ch),ESSENCE,BERLINE,1368,ECONOMIQUE,10,132.0,-1.0,1090,0.12,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.493,0.026,0.018,-1.0,-1.0,1165,1165,Malus,2726.0,30583,10.01,6.8115000000000006,6.029,7.2455,7.15,-1.0,227.82,154.76999999999998,136.89499999999998,164.675,162.5
AUDI,Q3 SPORTBACK,Q3,VGF,Q3 Sportback 35 TFSI (150ch) BVM6,ESSENCE,TS TERRAINS/CHEMINS,1498,MOYENNE SUPERIEURE,8,110.0,-1.0,1450,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.127,0.015,0.021,-1.0,0.0,1525,1525,Malus,450.0,44365,8.001,6.295,5.6215,6.6419999999999995,6.438000000000001,-1.0,180.575,142.01999999999998,126.805,149.86,145.245
SKODA,KODIAQ,KODIAQ,VGF,Kodiaq Sportline 1.5 TSI (150ch) DSG7 4x2. 5PL. classe B,ESSENCE,TS TERRAINS/CHEMINS,1498,SUPERIEURE,8,110.0,-1.0,1554,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.243,0.025,0.02,-1.0,0.0,1629,1629,Malus,2544.0,33820,8.993500000000001,6.922499999999999,6.0075,7.0585,6.9645,-1.0,204.14,157.04500000000002,136.23000000000002,160.135,158.0
NISSAN,QASHQAI,QASHQAI,NISSAN,e-POWER (190ch) BUSINESS EDITION (opt Pack Techno)/N-Connecta (opt Pack ProPILOT)/TEKNA,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1497,MOYENNE SUPERIEURE,8,116.0,65.0,1610,0.07,VARIATION CONTINUE,1,-1.0,-1.0,-1.0,-1.0,0.187,0.013,0.004,-1.0,0.0,1685,1685,Neutre 0,11900.0,41320,5.346,4.66,4.8425,6.6365,5.5085,-1.0,120.82,105.275,109.405,150.055,124.5
FORD,FIESTA,FIESTA,FORD,FIESTA 1.0 Ecoboost Hybrid (125ch) S&S (mHEV) Powershift,ESS+ELEC HNR,BERLINE,999,INFERIEURE,6,91.9,7.3,1136,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.309,0.034,0.014,-1.0,0.001,1211,1323,Neutre 0,11900.0,24190,6.7325,5.004,4.782,5.890499999999999,5.48,-1.0,152.015,112.86,107.825,132.95,123.645
MINI,MINI,MINI,B.M.W.,MINI Cooper S Hatch 5P (F55),ESSENCE,BERLINE,1998,INFERIEURE,9,131.0,-1.0,1280,0.1,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.188,0.016,0.009,-1.0,0.001,1355,1355,Malus,230.0,37750,8.636500000000002,6.0805,5.257,6.2509999999999994,6.2275,-1.0,196.345,138.16,119.4,142.04,141.5
MERCEDES,CLASSE V,V 300,AUTRES,V 300 d (237ch) BlueEFFICIENCY long,GAZOLE,MONOSPACE,1950,SUPERIEURE,14,174.0,-1.0,2067,0.08,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.116,-1.0,0.022,0.037,0.0,2142,2142,Malus,24591.0,81025,9.955,7.6965,6.686999999999999,7.994,7.792,-1.0,260.695,201.51,175.05,209.3,204.0
B.M.W.,SERIE 1,118,AUTRES,118i,ESSENCE,BERLINE,1499,MOYENNE INFERIEURE,7,100.0,-1.0,1290,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.291,0.024,0.018,-1.0,0.001,1365,1365,Malus,210.0,34600,8.035499999999999,6.041,5.3725000000000005,6.3215,6.2,-1.0,183.025,137.47,122.21000000000001,143.85999999999999,141.1
SKODA,KODIAQ,KODIAQ,VGF,Kodiaq Active 1.5 TSI (150ch) DSG7 4x2. 7PL. classe A,ESSENCE,TS TERRAINS/CHEMINS,1498,SUPERIEURE,8,110.0,-1.0,1564,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.243,0.025,0.02,-1.0,0.0,1639,1639,Malus,1761.0,33820,8.993500000000001,6.922499999999999,6.0075,7.0585,6.9645,-1.0,204.14,157.04500000000002,136.23000000000002,160.135,158.0
B.M.W.,SERIE 2,220,AUTRES,220i Coupé,ESSENCE,COUPE,1998,MOYENNE INFERIEURE,10,135.0,-1.0,1490,0.09,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.226,0.024,0.013,-1.0,0.0,1565,1565,Malus,540.0,45650,9.0315,6.555,5.631,6.5415,6.5955,-1.0,205.215,148.82999999999998,127.8,148.535,149.75
TOYOTA,YARIS,YARIS,TOYOTA,Yaris 1.5L (116ch) Hybrid Dynamic. Dynamic Business,ESS+ELEC HNR,BERLINE,1490,INFERIEURE,5,68.0,37.0,1085,0.06,VARIATION CONTINUE,0,-1.0,-1.0,-1.0,-1.0,0.149,0.025,0.01,-1.0,-1.0,1160,1160,Neutre 0,11900.0,25263,3.219,3.327,3.9015000000000004,5.733499999999999,4.3435,-1.0,72.83500000000001,75.275,88.325,129.94,98.36
ALFA ROMEO,STELVIO,STELVIO,STELLANTIS,STELVIO 2.2 Diesel (190ch) AT8 Q4,GAZOLE,TS TERRAINS/CHEMINS,2143,SUPERIEURE,10,140.0,-1.0,1745,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.04,-1.0,0.044,0.048,0.001,1820,1820,Malus,2249.0,56350,7.8185,6.1365,5.4045000000000005,6.2965,6.1915,-1.0,204.96,160.86,141.66,165.04500000000002,162.3
B.M.W.,SERIE X,X2,AUTRES,X2 sDrive18i,ESSENCE,TS TERRAINS/CHEMINS,1499,MOYENNE SUPERIEURE,7,100.0,-1.0,1410,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.267,0.025,0.014,-1.0,0.0,1485,1485,Malus,450.0,40217,8.663499999999999,6.4025,5.6465,6.6635,6.5634999999999994,-1.0,197.15,145.58499999999998,128.345,151.54500000000002,149.25
KIA,NIRO,NIRO,HYUNDAI,NIRO HEV 1.6 essence GDi (105ch) ISG / Electrique (60.5ch) DCT6 Système hybride (141 ch),ESS+ELEC HNR,TS TERRAINS/CHEMINS,1580,MOYENNE INFERIEURE,5,77.2,10.1,1415,0.05,AUTOMATIQUE,6,-1.0,-1.0,-1.0,-1.0,0.16,0.023,0.003,-1.0,0.0,1490,1490,Neutre 0,11900.0,34850,4.517,4.1915,4.155,5.857,4.8134999999999994,-1.0,102.66499999999999,95.235,94.41499999999999,133.2,109.435
B.M.W.,SERIE 1,118,AUTRES,118i,ESSENCE,BERLINE,1499,MOYENNE INFERIEURE,7,100.0,-1.0,1320,0.08,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.273,0.023,0.015,-1.0,0.0,1395,1395,Malus,210.0,37510,8.384,5.958,5.294499999999999,6.2865,6.193,-1.0,191.25,135.78,120.6,143.29000000000002,141.14999999999998
MINI,MINI,MINI,B.M.W.,MINI One 102 Hatch 5P (F55),ESSENCE,BERLINE,1499,INFERIEURE,5,75.0,-1.0,1235,0.06,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.084,0.012,0.006,-1.0,0.0,1310,1310,Malus,310.0,28050,8.0115,5.5445,4.937,5.8375,5.7895,-1.0,182.235,126.065,112.25,132.73499999999999,131.65
OPEL,MOKKA,MOKKA,STELLANTIS,MOKKA (110ch),GAZOLE,TS TERRAINS/CHEMINS,1499,INFERIEURE,6,81.0,-1.0,1220,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.058,-1.0,0.046,0.052,0.001,1295,1295,Neutre 0,-1.0,29417,4.865,4.2415,4.018,5.231,4.606999999999999,-1.0,127.565,111.195,105.33500000000001,137.175,120.785
B.M.W.,SERIE X,X4,AUTRES,X4 xDrive20d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,1995,SUPERIEURE,10,140.0,0.0,1840,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.165,-1.0,0.025,0.069,0.0,1915,1915,Malus,13076.0,62150,7.186,5.8925,5.415,6.4885,6.129,-1.0,188.24,154.285,141.765,169.935,160.5
SKODA,SUPERB,SUPERB,VGF,Superb Combi 2.0 TDI (200ch) DSG7 L&K,GAZOLE,BREAK,1968,SUPERIEURE,11,147.0,-1.0,1581,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.027,-1.0,0.032,0.043,0.0,1656,1656,Malus,650.0,53590,7.927,5.766,5.04,5.9295,5.888,-1.0,207.69,151.055,132.01500000000001,155.345,154.25
