Marque,Libellé modèle,Modèle,Groupe,Description Commerciale,Energie,Carrosserie,Cylindrée,Gamme,Puissance fiscale,Puissance maximale,Puissance nominale électrique,Poids à vide,Rapport poids-puissance,Type de boite,Nombre rapports,Autonomie elec Min,Autonomie elec Max,Autonomie elec urbain Min,Autonomie elec urbain Max,Essai CO2 type 1,Essai HC,Essai Nox,Essai HCNox,Essai particules,Masse OM Min,Masse OM Max,Bonus-Malus,Barème Bonus-Malus,Prix véhicule,Conso basse vitesse Avg,Conso moyenne vitesse Avg,Conso haute vitesse Avg,Conso T-haute vitesse Avg,Conso vitesse mixte Avg,Conso elec Avg,CO2 basse vitesse Avg,CO2 moyenne vitesse Avg,CO2 haute vitesse Avg,CO2 T-haute vitesse Avg,CO2 vitesse mixte Avg
B.M.W.,SERIE 4,420,AUTRES,420i Coupe,ESSENCE,COUPE,1998,MOYENNE SUPERIEURE,10,135.0,-1.0,1525,0.09,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.355,0.027,0.014,-1.0,0.0,1600,1600,Malus,898.0,53100,9.266,6.859,5.8614999999999995,6.42,6.715999999999999,-1.0,210.85,155.95999999999998,133.2,145.94,152.7
ALFA ROMEO,GIULIA,GIULIA,STELLANTIS,GIULIA 2.0 T Essence (200ch) AT8,ESSENCE,BERLINE,1995,SUPERIEURE,11,148.0,-1.0,1429,0.1,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.241,0.045,0.023,-1.0,0.001,1520,1520,Malus,4279.0,51625,10.963000000000001,7.852,6.394,6.789,7.4399999999999995,-1.0,248.405,177.905,144.875,153.825,168.575
RENAULT,KANGOO,KANGOO,RENAULT,KANGOO (130ch),ESSENCE,COMBISPACE,1332,INFERIEURE,7,96.0,-1.0,1519,0.06,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.234,0.012,0.022,-1.0,0.001,1594,1594,Malus,1386.0,31000,8.7405,6.788,6.188000000000001,7.9175,7.2635000000000005,-1.0,198.195,153.83499999999998,140.195,179.495,164.64
DACIA,DUSTER,DUSTER,RENAULT,DUSTER (115ch),GAZOLE,TS TERRAINS/CHEMINS,1461,INFERIEURE,6,85.0,-1.0,1354,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.146,-1.0,0.019,0.068,0.0,1429,1470,Malus,125.0,21013,5.4990000000000006,4.6455,4.33,5.4025,4.93,-1.0,143.92000000000002,121.525,113.235,141.385,129.0
CITROEN,JUMPY SPACE TOURER,SPACE TOURER,STELLANTIS,SPACETOURER 2.0 BlueHDi FAP S&S (150ch) BVM6,GAZOLE,MINIBUS,1997,MOYENNE INFERIEURE,7,106.0,-1.0,1660,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.028,-1.0,0.023,0.027,0.0,1735,1735,Malus,8254.0,35250,7.7045,6.6685,6.2425,8.1145,7.1884999999999994,-1.0,202.055,174.865,163.695,212.815,188.505
KIA,RIO,RIO,HYUNDAI,RIO 1.0 essence T-GDi (100ch) ISG BVM6,ESSENCE,BERLINE,998,MOYENNE INFERIEURE,5,73.5,-1.0,1100,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.11,0.018,0.03,-1.0,0.0,1175,1175,Malus,100.0,19465,6.923,5.1455,4.5705,5.798500000000001,5.436999999999999,-1.0,157.325,116.87,103.785,131.74,123.5
VOLKSWAGEN,CADDY,CADDY,VGF,CADDY 5 Caddy/Life/Style 1.5 TSI (114ch) BVM6,ESSENCE,COMBISPACE,1498,INFERIEURE,6,84.0,-1.0,1467,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.245,0.029,0.031,-1.0,0.0,1542,1542,Malus,740.0,29190,8.2125,6.5,5.7795000000000005,7.0995,6.719,-1.0,186.37,147.43,131.035,161.06,152.4
DACIA,DUSTER,DUSTER,RENAULT,DUSTER (101ch),ESS+G.P.L.,TS TERRAINS/CHEMINS,999,INFERIEURE,5,67.0,-1.0,1262,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.632,0.053,0.015,-1.0,-1.0,1337,1381,Neutre 0,-1.0,18685,7.69,5.9555,5.6225000000000005,7.045,6.4704999999999995,-1.0,173.615,134.20499999999998,126.63499999999999,158.96499999999997,145.9
DACIA,DUSTER,DUSTER,RENAULT,DUSTER (101ch),ESS+G.P.L.,TS TERRAINS/CHEMINS,999,INFERIEURE,5,74.0,-1.0,1262,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.388,0.018,0.026,-1.0,-1.0,1337,1381,Neutre 0,-1.0,18685,9.4725,7.198,6.8185,8.65,7.899,-1.0,150.17,116.65,110.605,140.52499999999998,127.72
SKODA,KAROQ,KAROQ,VGF,Karoq 1.5 TSI (150ch) 4*2 BVM6 norme AP freins 15'' Normal. Ambition Classe A avec alt 140A famA,ESSENCE,TS TERRAINS/CHEMINS,1498,MOYENNE SUPERIEURE,8,110.0,-1.0,1321,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.192,0.027,0.022,-1.0,0.0,1396,1396,Malus,360.0,33965,7.8185,5.916499999999999,5.2,6.172499999999999,6.0395,-1.0,177.765,134.44,118.12,140.275,137.25
