Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
MAZDA;"MAZDA CX-30";CX-30;AUTRES;"CX-30 (AM 2022) 2.0L E-SKYACTIV G (122ch) 4x2 BVM";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";6;90,000;0,000;1378;0,07;MECANIQUE;6;;7,300;;5,600;;5,100;;6,400;;5,900;;;;;;;;164,10;;126,30;;114,70;;144,10;;134,40;0,240;0,021;0,009;;0,000;1453;1453;Malus;11907;30730
VOLVO;XC60;XC60;GEELY;"XC60 T5 (250ch) Geartronic 8";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1969;SUPERIEURE;15;186,000;28,000;2094;0,09;AUTOMATIQUE;8;;;;;;;;;2,396;2,810;152,510;177,570;53,000;46,000;56,000;50,000;;;;;;;;;54,04;63,60;0,645;0,006;0,006;;0,000;2169;2169;"Neutre 0";3690;76310
B.M.W.;"SERIE X";X5;AUTRES;"X5 xDrive40d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;22;250,000;0,000;2285;0,11;AUTOMATIQUE;8;9,700;10,781;6,463;7,132;5,763;6,288;6,803;7,706;6,799;7,561;;;;;;;254,33;282,69;169,40;186,94;151,02;164,78;178,31;202,01;178,20;198,20;0,096;;0,025;0,038;0,001;2360;2360;Malus;17567;84217
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;0,000;1395;1395;Malus;170;37510
B.M.W.;"SERIE 4";430;AUTRES;"430d xDrive Coupe";"GAZ+ELEC HNR";BERLINE;2993;"MOYENNE SUPERIEURE";17;210,000;0,000;1845;0,11;AUTOMATIQUE;8;8,050;8,448;5,439;6,020;4,731;5,306;5,251;6,208;5,502;6,190;;;;;;;211,12;221,59;142,55;157,85;123,97;139,09;137,61;162,77;144,20;162,30;0,124;;0,042;0,055;0,001;1920;1920;Malus;13122;62950
MINI;MINI;CABRIO;B.M.W.;"MINI Cooper Cabrio (F57)";ESSENCE;CABRIOLET;1499;INFERIEURE;7;100,000;;1285;0,08;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1360;1360;Malus;310;36567
SKODA;KAROQ;KAROQ;VGF;"Karoq 2.0 TDI (116ch) DSG7 4*2 norme AP freins 15'' Normal. Ambition Classe A avec alt 140A famA";GAZOLE;"TS TERRAINS/CHEMINS";1968;"MOYENNE SUPERIEURE";6;85,000;;1409;0,06;AUTOMATIQUE;7;6,360;6,884;4,360;5,113;3,855;4,692;4,586;5,797;4,551;5,461;;;;;;;166,78;180,53;114,28;134,05;101,05;123,00;120,23;152,00;119,30;143,20;0,025;;0,036;0,059;0,000;1484;1484;Malus;400;39098
B.M.W.;M4;M4;AUTRES;"M4 Competition M xDrive Coupé";ESSENCE;COUPE;2993;LUXE;41;375,000;;1775;0,21;AUTOMATIQUE;8;15,635;15,279;9,922;10,312;8,415;8,789;9,137;9,583;9,940;10,245;;;;;;;355,67;347,60;225,61;234,53;191,29;199,85;207,73;217,92;226,00;233,00;0,177;0,008;0,018;;0,000;1850;1850;Malus;40000;104550
MERCEDES;"CLASSE E";"E 200";AUTRES;"E 220 d";"GAZ+ELEC HNR";BREAK;1993;LUXE;11;147,000;10,000;1850;0,08;AUTOMATIQUE;9;6,545;7,061;4,926;5,468;4,161;4,619;4,444;5,368;4,735;5,383;;;;;;;171,43;184,97;129,00;143,22;108,96;120,98;116,39;140,60;124,00;141,00;0,054;;0,006;0,013;0,000;1925;1925;Malus;13160;58600
B.M.W.;"SERIE 1";116;AUTRES;116i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";6;80,000;;1340;0,06;AUTOMATIQUE;7;7,931;8,435;5,596;6,443;4,900;6,012;5,768;7,320;5,753;6,886;;;;;;;181,21;192,71;127,81;147,16;111,88;137,32;131,73;167,21;131,40;157,30;0,072;0,014;0,008;;0,000;1415;1415;Malus;310;36260
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1175;0,09;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1250;1250;"Neutre 0";;32367
PEUGEOT;508;508;AUTRES;"508 1.2 PureTech (130ch) S&S BVM6";ESSENCE;BERLINE;1199;"MOYENNE SUPERIEURE";7;96,000;;1400;0,07;AUTOMATIQUE;8;7,444;8,100;5,861;6,674;4,913;5,775;5,478;6,735;5,644;6,609;;;;;;;167,62;182,37;131,86;150,16;110,46;129,86;123,21;151,55;126,96;148,69;0,341;0,020;0,038;;0,000;1475;1475;Malus;210;42075
PEUGEOT;"EXPERT TRAVELLER";TRAVELLER;AUTRES;"TRAVELLER 1.5 BlueHDi FAP S&S (100ch) BVM6";GAZOLE;MINIBUS;1499;"MOYENNE INFERIEURE";6;88,000;;1640;0,05;MECANIQUE;6;6,635;7,640;5,429;6,280;5,277;5,998;6,944;7,798;6,080;6,912;;;;;;;173,81;200,17;142,20;164,52;138,21;157,12;181,93;204,31;159,27;181,10;0,072;;0,050;0,055;0,000;1715;1715;Malus;3784;32350
B.M.W.;"SERIE 2";216;AUTRES;"216d Gran Coupé";GAZOLE;BERLINE;1496;"MOYENNE INFERIEURE";6;85,000;;1430;0,06;AUTOMATIQUE;7;5,896;6,380;4,650;5,195;3,844;4,686;4,266;5,641;4,431;5,354;;;;;;;154,53;167,20;121,83;136,13;100,69;122,77;111,76;147,83;116,10;140,30;0,037;;0,019;0,039;0,000;1505;1505;"Neutre 0";;41313
ALPINE;A110;A110;RENAULT;"A110 (292ch)";ESSENCE;COUPE;1798;LUXE;18;215,000;;1107;0,19;AUTOMATIQUE;7;10,365;11,177;6,428;6,460;5,695;5,796;6,534;6,754;6,764;6,987;;;;;;;234,90;253,39;145,53;146,32;128,90;131,26;147,93;153,01;153,15;158,30;0,216;0,011;0,018;;0,001;1182;1182;Malus;1761;76500
B.M.W.;"SERIE 2";220;AUTRES;"220i Active Tourer";"ESS+ELEC HNR";"MONOSPACE COMPACT";1499;"MOYENNE INFERIEURE";8;115,000;10,500;1520;0,08;AUTOMATIQUE;7;8,491;8,807;5,666;6,334;5,015;5,640;5,736;6,713;5,866;6,584;;;;;;;193,36;200,61;128,93;144,21;114,08;128,38;130,54;152,84;133,50;149,90;0,181;0,009;0,015;;0,000;1595;1595;Malus;11907;38638
SKODA;SUPERB;SUPERB;VGF;"Superb Berline 2.0 TDI (150ch) DSG7 L&K";GAZOLE;BERLINE;1968;SUPERIEURE;8;110,000;;1573;0,07;AUTOMATIQUE;7;6,867;7,078;4,749;5,220;3,926;4,443;4,391;5,097;4,650;5,184;;;;;;;179,89;185,44;124,39;136,74;102,81;116,37;115,00;133,50;121,80;135,80;0,025;;0,032;0,040;0,000;1648;1648;Malus;170;47108
MERCEDES;"CLASSE C";"C 220";AUTRES;"C 220d 4MATIC All-Terrain";"GAZ+ELEC HNR";BREAK;1993;SUPERIEURE;11;147,000;10,000;1800;0,08;AUTOMATIQUE;9;6,368;6,850;4,976;5,363;4,123;4,582;4,910;5,501;4,875;5,369;;;;;;;167,22;179,91;130,66;140,83;108,24;120,31;128,91;144,46;128,00;141,00;0,056;;0,007;0,013;0,000;1875;1875;Malus;12654;62283
B.M.W.;"SERIE 3";320;AUTRES;"320d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;SUPERIEURE;10;140,000;0,000;1725;0,08;AUTOMATIQUE;8;6,494;7,188;5,084;6,077;4,690;5,371;5,367;6,285;5,251;6,082;;;;;;;170,35;188,54;133,32;159,39;122,97;140,86;140,76;164,85;137,70;159,50;0,049;;0,018;0,043;0,000;1800;1800;Malus;11920;56088
NISSAN;QASHQAI;QASHQAI;NISSAN;"e-POWER (190ch) BUSINESS EDITION (opt Pack Techno)/N-Connecta (opt Pack ProPILOT)/TEKNA";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1497;"MOYENNE SUPERIEURE";8;116,000;65,000;1610;0,07;"VARIATION CONTINUE";1;5,093;5,599;4,368;4,952;4,655;5,030;6,376;6,897;5,265;5,752;;;;;;;115,10;126,54;98,67;111,88;105,17;113,64;144,17;155,94;119,00;130,00;0,187;0,013;0,004;;0,000;1685;1685;"Neutre 0";11900;41320
ALPINE;A110;A110;RENAULT;"A110 (251ch)";ESSENCE;COUPE;1798;LUXE;15;185,000;;1102;0,17;AUTOMATIQUE;7;10,263;10,262;6,233;6,467;5,649;5,919;6,580;6,991;6,712;6,989;;;;;;;232,57;232,59;141,09;146,45;127,82;134,01;148,95;158,35;151,96;158,30;0,229;0,011;0,011;;0,000;1177;1177;Malus;1172;60500
B.M.W.;"SERIE X";IX3;AUTRES;iX3;ELECTRIC;"TS TERRAINS/CHEMINS";0;LUXE;6;;80,000;2180;0,00;"VARIATION ELECTRIQUE";0;;;;;;;;;;;185,000;194,000;462,000;441,000;601,000;583,500;;;;;;;;;;;;;;;;2255;2255;"Neutre 0";-6000;74000
CITROEN;BERLINGO;BERLINGO;STELLANTIS;"BERLINGO Blue-Hdi (130ch) S&S BVM6";GAZOLE;COMBISPACE;1499;INFERIEURE;7;96,000;;1517;0,06;MECANIQUE;6;5,022;5,825;4,581;5,458;4,317;5,205;5,702;6,749;4,956;5,887;;;;;;;131,70;152,78;120,13;143,16;113,19;136,51;149,52;177,03;129,96;154,41;0,053;;0,049;0,053;0,000;1592;1592;Malus;360;29840
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Berline (115ch)";GAZOLE;BERLINE;1461;"MOYENNE INFERIEURE";6;85,000;;1346;0,06;MECANIQUE;6;4,986;5,539;4,384;4,809;3,836;4,234;4,761;5,155;4,429;4,852;;;;;;;130,84;145,39;115,01;126,20;100,64;111,10;124,93;135,30;116,21;127,33;0,067;;0,012;0,021;0,000;1421;1421;"Neutre 0";;32275
PEUGEOT;208;208;AUTRES;"208 1.2 PureTech S&S (100ch) BVM6";ESSENCE;BERLINE;1199;INFERIEURE;5;74,000;;1090;0,07;MECANIQUE;6;6,330;6,800;4,814;5,586;4,148;4,889;4,932;5,930;4,853;5,655;;;;;;;142,39;152,96;108,10;125,50;93,04;109,74;110,76;133,28;108,97;127,06;0,509;0,022;0,014;;0,000;1165;1165;"Neutre 0";;24256
B.M.W.;"SERIE 4";420;AUTRES;"420d Gran Coupe";"GAZ+ELEC HNR";BERLINE;1995;"MOYENNE SUPERIEURE";10;140,000;0,000;1705;0,08;AUTOMATIQUE;8;6,167;6,649;4,631;5,300;4,252;4,905;4,814;5,617;4,784;5,470;;;;;;;161,59;174,22;121,30;138,84;111,35;128,47;126,10;147,15;125,30;143,30;0,112;;0,017;0,045;0,000;1780;1780;Malus;11901;56383
SKODA;KAMIQ;KAMIQ;VGF;"Kamiq Ambition 1.0 TSI (110ch) DSG7. châssis classique. classe A";ESSENCE;"TS TERRAINS/CHEMINS";999;"MOYENNE INFERIEURE";6;81,000;;1185;0,07;AUTOMATIQUE;7;6,966;7,767;5,489;6,450;4,795;5,939;5,474;7,187;5,466;6,729;;;;;;;158,22;176,41;124,62;146,45;108,82;134,81;124,27;163,22;124,10;152,80;0,153;0,023;0,043;;0,000;1260;1260;Malus;190;29620
VOLKSWAGEN;PASSAT;PASSAT;VGF;"PASSAT SW 2.0 TDI (200ch) DSG7 4M bat mot ss+r 19'' EU6AP FIB gnI";GAZOLE;BREAK;1968;"MOYENNE SUPERIEURE";11;147,000;;1598;0,09;AUTOMATIQUE;7;8,236;8,682;5,961;6,500;5,147;5,751;5,782;6,762;5,949;6,653;;;;;;;215,80;227,75;156,18;170,49;134,83;150,85;151,48;177,36;155,87;174,50;0,021;;0,038;0,049;0,000;1673;1673;Malus;2049;58617
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI Cooper Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;7;100,000;;1430;0,07;AUTOMATIQUE;7;8,601;9,062;6,170;6,940;5,246;5,983;6,396;7,207;6,289;7,022;;;;;;;195,81;206,23;140,38;157,82;119,31;136,00;145,54;163,91;143,10;159,70;0,253;0,020;0,017;;0,001;1505;1505;Malus;740;40000
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 1.5 TSI (114ch) BVM6";ESSENCE;COMBISPACE;1498;INFERIEURE;6;84,000;;1467;0,06;MECANIQUE;6;7,781;8,644;5,925;7,075;5,213;6,346;6,263;7,936;6,073;7,365;;;;;;;176,66;196,08;134,45;160,41;118,24;143,83;142,13;179,99;137,80;167,00;0,245;0,029;0,031;;0,000;1542;1542;Malus;740;31090
KIA;XCEED;XCEED;HYUNDAI;"XCEED 1.6 Diesel CRDi (136ch) ISG MHEV DCT7";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE INFERIEURE";7;100,000;5,700;1397;0,07;AUTOMATIQUE;7;5,462;6,056;4,599;4,958;4,294;4,416;5,613;5,666;4,979;5,188;;;;;;;143,06;158,67;120,41;129,85;112,41;115,64;147,01;148,43;130,40;135,90;0,112;;0,010;0,047;0,000;1472;1472;Malus;11905;36715
MERCEDES;"CLASSE V";"V 250";AUTRES;"V 250 d (190ch) BlueEFFICIENCY extra-long";GAZOLE;MONOSPACE;1950;SUPERIEURE;10;140,000;;2092;0,07;AUTOMATIQUE;9;8,591;11,319;6,665;8,728;5,773;7,601;6,987;9,001;6,761;8,823;;;;;;;224,97;296,42;174,50;228,52;151,11;198,99;182,92;235,68;177,00;231,00;0,116;;0,022;0,037;0,000;2167;2167;Malus;24841;74793
SKODA;FABIA;FABIA;VGF;"FABIA 1.5 TSI (150ch) DSG7 Monte-Carlo";ESSENCE;BERLINE;1498;"MOYENNE INFERIEURE";8;110,000;;1149;0,10;AUTOMATIQUE;7;7,486;8,605;5,408;6,395;4,529;5,732;5,228;6,897;5,350;6,663;;;;;;;170,24;195,63;122,92;145,29;102,90;130,19;118,82;156,73;121,60;151,40;0,172;0,021;0,019;;0,000;1224;1224;Malus;230;26420
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI Cooper S Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1998;INFERIEURE;9;131,000;;1465;0,09;MECANIQUE;6;8,988;9,580;6,486;7,195;5,611;6,161;6,539;7,351;6,568;7,249;;;;;;;204,69;218,16;147,63;163,77;127,67;140,19;148,83;167,31;149,50;165,00;0,170;0,022;0,017;;0,000;1540;1540;Malus;1504;40388
B.M.W.;"SERIE X";X5;AUTRES;"X5 xDrive40d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;22;250,000;0,000;2200;0,11;AUTOMATIQUE;8;9,700;10,781;6,463;7,132;5,763;6,288;6,803;7,706;6,799;7,561;;;;;;;254,33;282,69;169,40;186,94;151,02;164,78;178,31;202,01;178,20;198,20;0,096;;0,025;0,038;0,001;2275;2275;Malus;16713;84217
RENAULT;CLIO;CLIO;RENAULT;"CLIO (94ch+24Kw)";"ESS+ELEC HNR";BERLINE;1598;INFERIEURE;5;69,000;24,000;1243;0,06;AUTOMATIQUE;6;4,115;4,790;3,695;4,344;3,681;4,364;4,767;5,738;4,127;4,904;;;;;;;92,64;107,87;83,11;97,77;82,80;98,21;107,40;129,35;92,90;110,45;0,416;0,023;0,005;;;1318;1318;"Neutre 0";11900;25133
B.M.W.;"SERIE 1";118;AUTRES;118d;GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";8;110,000;;1405;0,08;MECANIQUE;6;5,700;6,217;4,244;5,091;3,987;4,860;4,449;5,720;4,431;5,393;;;;;;;149,19;162,74;110,99;133,18;104,25;127,12;116,36;149,68;115,90;141,10;0,185;;0,023;0,075;0,000;1480;1480;"Neutre 0";;38110
MERCEDES;"CLASSE C";"C 220";AUTRES;"C 200 4MATIC All-Terrain";"GAZ+ELEC HNR";BREAK;1993;SUPERIEURE;11;147,000;10,000;1715;0,09;AUTOMATIQUE;9;5,920;6,423;4,459;5,081;3,773;4,282;4,289;5,019;4,382;4,992;;;;;;;155,39;168,60;117,03;133,34;99,01;112,37;112,56;131,71;115,00;131,00;0,063;;0,007;0,014;0,000;1790;1790;Malus;11903;59883
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 1.5 TSI (114ch) Boite DSG 7 vit 5PL";ESSENCE;COMBISPACE;1498;INFERIEURE;6;84,000;;1497;0,06;AUTOMATIQUE;7;8,475;9,175;6,316;7,389;5,323;6,331;6,394;7,983;6,325;7,512;;;;;;;192,40;208,23;143,29;167,61;120,72;143,55;145,06;181,12;143,50;170,40;0,212;0,028;0,029;;0,000;1572;1572;Malus;1172;36003
VOLVO;XC40;XC40;GEELY;"XC40 T2 (130ch) FWD Geartronic 7";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1477;"MOYENNE SUPERIEURE";7;95,000;30,000;1737;0,05;AUTOMATIQUE;7;;;;;;;;;1,959;2,434;152,000;159,000;47,000;42,000;56,000;46,000;;;;;;;;;44,49;55,28;0,110;0,006;0,008;;0,000;1812;1812;"Neutre 0";120;54900
KIA;STONIC;STONIC;HYUNDAI;"STONIC 1.0 essence T-GDi (120ch) MHEV DCT7 GT-line";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";998;INFERIEURE;6;88,300;7,940;1185;0,07;AUTOMATIQUE;7;;6,864;;5,349;;4,754;;6,210;;5,673;;;;;;;;156,12;;121,62;;108,08;;141,24;;129,00;0,089;0,024;0,018;;0,000;1260;1260;Malus;11902;26470
B.M.W.;"SERIE X";X5;AUTRES;"X5 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;17;210,000;0,000;2190;0,10;AUTOMATIQUE;8;8,821;8,884;6,274;7,266;5,579;6,624;6,588;7,831;6,510;7,484;;;;;;;230,96;232,59;164,21;190,19;146,00;173,36;172,43;204,99;170,40;195,90;0,141;;0,045;0,063;0,001;2265;2265;Malus;16602;77717
VOLKSWAGEN;TIGUAN;TIGUAN;VGF;"TIGUAN 2.0 TDI (150ch) DSG7 ess4 ss+r opt PAC 17/18'' rlt fbl résist EU6AP FIA LED gnI";GAZOLE;"TS TERRAINS/CHEMINS";1968;"MOYENNE SUPERIEURE";8;110,000;;1556;0,07;AUTOMATIQUE;7;7,218;7,644;5,117;5,680;4,371;5,047;5,121;6,023;5,168;5,868;;;;;;;189,13;200,29;134,06;148,79;114,51;132,21;134,16;157,79;135,40;153,73;0,026;;0,030;0,039;0,000;1631;1631;Malus;740;48739
MINI;MINI;CABRIO;B.M.W.;"MINI John Cooper Works Cabrio (F57)";ESSENCE;CABRIOLET;1998;INFERIEURE;13;170,000;;1375;0,12;AUTOMATIQUE;8;9,293;9,684;6,409;6,979;5,535;6,106;6,444;7,170;6,536;7,138;;;;;;;211,58;220,48;145,81;158,77;125,87;138,87;146,60;163,13;148,70;162,40;0,234;0,016;0,008;;0,000;1450;1450;Malus;2370;44900
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;0,000;1395;1395;Malus;310;37510
KIA;SPORTAGE;SPORTAGE;HYUNDAI;"SPORTAGE 1.6 essence T-GDi (150ch) MHEV iBVM6";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";8;110,100;7,940;1486;0,07;MECANIQUE;6;8,042;8,171;6,309;6,569;5,507;5,828;6,802;7,171;6,467;6,768;;;;;;;182,63;185,70;143,20;149,25;124,94;132,39;154,41;162,96;146,80;153,77;0,193;0,023;0,027;;0,000;1561;1561;Malus;11921;34078
B.M.W.;"SERIE X";X2;AUTRES;"X2 M35i";ESSENCE;"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";19;225,000;;1615;0,14;AUTOMATIQUE;8;10,422;10,687;7,367;8,066;6,401;7,002;7,360;8,116;7,474;8,105;;;;;;;237,55;244,15;167,87;184,21;145,84;159,89;167,71;185,35;170,30;185,10;0,120;0,009;0,019;;0,001;1690;1690;Malus;5105;58700
TOYOTA;AYGO;AYGO;TOYOTA;"AYGO 1.0 VVT-i MT Citadine 5P x-play / x-look / x-clusiv";ESSENCE;BERLINE;998;ECONOMIQUE;4;53,000;;855;0,06;MECANIQUE;5;5,803;5,983;4,459;4,697;4,239;4,510;5,477;6,014;4,931;5,278;;;;;;;131,63;135,72;101,08;106,46;96,07;102,22;124,22;136,43;111,81;119,68;0,155;0,026;0,022;;;930;930;"Neutre 0";;15450
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1365;1365;Malus;100;35210
PEUGEOT;5008;5008;AUTRES;"5008 1.6 PureTech S&S (180ch) BVA8";ESSENCE;"TS TERRAINS/CHEMINS";1598;"MOYENNE INFERIEURE";10;133,000;;1521;0,09;AUTOMATIQUE;8;8,092;9,248;6,336;7,540;5,566;6,702;6,668;8,224;6,450;7,752;;;;;;;183,07;208,92;143,19;170,12;125,69;151,08;150,73;185,65;145,78;174,93;0,711;0,023;0,035;;0,001;1596;1596;Malus;1761;46850
MINI;MINI;MINI;B.M.W.;"MINI One 75 Hatch 5P (F55)";ESSENCE;BERLINE;1499;INFERIEURE;4;55,000;;1210;0,05;MECANIQUE;6;7,438;7,984;5,130;5,771;4,610;5,126;5,378;5,968;5,365;5,937;;;;;;;169,11;181,52;116,55;131,12;104,71;116,44;122,20;135,62;121,90;134,90;0,140;0,013;0,007;;0,000;1285;1285;"Neutre 0";;23450
VOLKSWAGEN;TIGUAN;TIGUAN;VGF;"TIGUAN R-Line 2.0 TDI (200ch) DSG7 4M ess5 ss+r opt PAC 19/20'' rlt fbl résist EU6AP FIA gnI";GAZOLE;"TS TERRAINS/CHEMINS";1968;"MOYENNE SUPERIEURE";11;147,000;;1630;0,09;AUTOMATIQUE;7;8,462;8,718;5,867;6,442;5,093;5,747;6,017;6,870;6,027;6,682;;;;;;;222,00;228,71;153,89;168,98;133,58;150,75;157,84;180,22;158,10;175,30;0,019;;0,033;0,042;0,000;1705;1705;Malus;4818;57595
CITROEN;"JUMPY SPACE TOURER";"SPACE TOURER";STELLANTIS;"SPACETOURER 1.5 BlueHDi FAP S&S (100ch) BVM6";GAZOLE;MINIBUS;1499;"MOYENNE INFERIEURE";6;88,000;;1659;0,05;MECANIQUE;6;6,635;7,640;5,429;6,280;5,277;5,998;6,944;7,798;6,080;6,912;;;;;;;173,81;200,17;142,20;164,52;138,21;157,12;181,93;204,31;159,27;181,10;0,072;;0,050;0,055;0,000;1734;1734;Malus;3784;33350
MERCEDES;"CLASSE GLE";"GLE 350";AUTRES;"GLE 350 e 4MATIC";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1991;LUXE;12;155,000;70,000;2530;0,06;AUTOMATIQUE;9;;;;;;;;;1,155;1,330;255,090;271,640;87,400;81,900;93,700;88,800;;;;;;;;;26,16;30,10;0,382;0,025;0,015;;0,000;2605;2605;"Neutre 0";;106050
MERCEDES;"CLASSE E";"E 200";AUTRES;"E 220 d";"GAZ+ELEC HNR";BREAK;1993;LUXE;11;147,000;10,000;1850;0,08;AUTOMATIQUE;9;7,061;7,563;5,468;5,786;4,619;5,129;5,368;6,059;5,383;5,917;;;;;;;184,97;198,14;143,22;151,57;120,98;134,35;140,60;158,72;141,00;155,00;0,048;;0,005;0,013;0,000;1925;1925;Malus;13167;58600
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI Cooper Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;7;100,000;;1430;0,07;AUTOMATIQUE;7;8,601;9,062;6,170;6,940;5,246;5,983;6,396;7,207;6,289;7,022;;;;;;;195,81;206,23;140,38;157,82;119,31;136,00;145,54;163,91;143,10;159,70;0,253;0,020;0,017;;0,001;1505;1505;Malus;540;40000
MERCEDES;"CLASSE C";"C 200";AUTRES;"C 220 d";"GAZ+ELEC HNR";BREAK;1993;SUPERIEURE;9;120,000;10,000;1705;0,07;AUTOMATIQUE;9;6,055;6,767;4,425;5,047;3,814;4,318;4,224;4,985;4,383;5,030;;;;;;;158,94;177,65;116,12;132,47;100,07;113,32;110,84;130,83;115,00;132,00;0,064;;0,007;0,014;0,000;1780;1780;Malus;11904;55683
MINI;MINI;MINI;B.M.W.;"MINI Cooper SE Hatch 3P (F56)";ELECTRIC;BERLINE;0;INFERIEURE;5;;75,000;1365;0,00;"VARIATION ELECTRIQUE";0;;;;;;;;;;;152,000;181,000;234,000;196,000;313,700;254,400;;;;;;;;;;;;;;;;1440;1440;"Bonus 6000";-6000;37560
B.M.W.;"SERIE X";X4;AUTRES;"X4 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;0,000;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;0,000;1915;1915;Malus;13073;62150
FIAT;500C;500;STELLANTIS;"500 Hybrid 1.0 BSG (70ch) Start/Stop Euro 6";"ESS+ELEC HNR";BERLINE;999;ECONOMIQUE;4;51,500;1,370;993;0,05;MECANIQUE;6;5,548;5,128;4,466;4,780;3,999;4,586;5,018;6,161;4,662;5,256;;;;;;;126,23;116,56;101,53;108,63;90,86;104,18;114,13;140,16;106,00;119,50;0,300;0,028;0,022;;;1068;1068;"Neutre 0";11900;19150
