Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
MINI;MINI;CLUBMAN;B.M.W.;"MINI Cooper Clubman (F54)";ESSENCE;BREAK;1499;INFERIEURE;7;100,000;;1335;0,07;MECANIQUE;6;8,024;8,452;5,907;6,434;5,168;5,719;5,978;6,515;5,986;6,511;;;;;;;182,67;192,37;134,40;146,35;117,54;130,03;136,00;148,19;136,20;148,10;0,217;0,021;0,015;;0,000;1410;1410;Malus;260;34014
CITROEN;E-BERLINGO;BERLINGO;STELLANTIS;Ë-Berlingo;ELECTRIC;COMBISPACE;0;INFERIEURE;4;;57,000;1664;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;186,700;227,000;293,000;245,000;433,000;346,100;;;;;;;;;;;;;;;;1739;1739;"Bonus 4000";-6000;38150
NISSAN;QASHQAI;QASHQAI;NISSAN;"Mild Hybrid (158ch) Xtronic i-4x4 N-CONNECTA";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";8;116,000;0,000;1457;0,08;"VARIATION CONTINUE";1;8,385;9,648;6,561;6,950;5,795;6,272;7,164;7,663;6,781;7,353;;;;;;;189,30;217,95;148,00;156,87;130,66;141,53;161,65;173,02;153,00;166,00;0,312;0,015;0,024;;0,000;1532;1532;Malus;11928;42920
RENAULT;AUSTRAL;AUSTRAL;RENAULT;"AUSTRAL (130ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1199;"MOYENNE SUPERIEURE";7;96,000;0,000;1421;0,07;MECANIQUE;6;6,121;7,040;4,820;5,220;4,688;4,980;5,758;6,153;5,286;5,719;;;;;;;137,69;158,49;109,11;118,04;106,12;112,55;130,40;139,45;119,56;129,32;0,439;0,024;0,018;;0,000;1496;1496;"Neutre 0";11900;34650
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;0,000;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;0,000;1915;1915;Malus;13086;59100
VOLKSWAGEN;TIGUAN;TIGUAN;VGF;"TIGUAN 1.4 eHybrid (245ch) DSG6 ess6 ss+r opt PAC 17/18'' rlt fbl résist EU6AP FIA";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1395;"MOYENNE SUPERIEURE";8;110,000;55,000;1744;0,06;AUTOMATIQUE;6;;;;;;;;;1,402;1,736;151,000;153,000;52,000;46,000;58,000;55,000;;;;;;;;;31,80;39,43;0,213;0,013;0,011;;0,000;1819;1819;"Neutre 0";;50806
B.M.W.;"SERIE 4";420;AUTRES;"420i Coupe";ESSENCE;COUPE;1998;"MOYENNE SUPERIEURE";10;135,000;;1525;0,09;AUTOMATIQUE;8;8,764;9,768;6,417;7,301;5,366;6,357;5,926;6,914;6,231;7,201;;;;;;;199,56;222,14;146,04;165,88;122,05;144,35;134,84;157,04;141,80;163,60;0,355;0,027;0,014;;0,000;1600;1600;Malus;898;53100
"ALFA ROMEO";GIULIA;GIULIA;STELLANTIS;"GIULIA 2.0 T Essence (200ch) AT8";ESSENCE;BERLINE;1995;SUPERIEURE;11;148,000;;1429;0,10;AUTOMATIQUE;8;10,684;11,242;7,575;8,129;6,159;6,629;6,514;7,064;7,176;7,704;;;;;;;242,08;254,73;171,63;184,18;139,54;150,21;147,60;160,05;162,60;174,55;0,241;0,045;0,023;;0,001;1520;1520;Malus;4279;51625
OPEL;"COMBO-E LIFE";COMBO;STELLANTIS;"COMBO-E LIFE L1 (57Kw)";ELECTRIC;COMBISPACE;0;INFERIEURE;4;;57,000;1664;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;186,700;227,000;293,000;245,000;433,000;346,100;;;;;;;;;;;;;;;;1739;1739;"Bonus 4000";-6000;40700
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1519;0,06;AUTOMATIQUE;7;8,461;9,020;6,372;7,204;5,681;6,695;6,990;8,845;6,656;7,871;;;;;;;191,87;204,52;144,41;163,26;128,69;151,70;158,44;200,55;150,86;178,42;0,234;0,012;0,022;;0,001;1594;1594;Malus;1386;31000
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive30e";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1998;SUPERIEURE;10;135,000;55,000;1990;0,07;AUTOMATIQUE;8;;;;;;;;;1,938;2,663;188,400;207,100;50,000;41,200;52,600;46,200;;;;;;;;;43,89;60,38;0,642;0,017;0,012;;0,001;2065;2065;"Neutre 0";2650;64950
DACIA;DUSTER;DUSTER;RENAULT;"DUSTER (115ch)";GAZOLE;"TS TERRAINS/CHEMINS";1461;INFERIEURE;6;85,000;;1354;0,06;MECANIQUE;6;5,315;5,683;4,511;4,780;4,260;4,400;5,288;5,517;4,816;5,044;;;;;;;139,09;148,75;117,99;125,06;111,39;115,08;138,38;144,39;126,00;132,00;0,146;;0,019;0,068;0,000;1429;1470;Malus;125;21013
CITROEN;"JUMPY SPACE TOURER";"SPACE TOURER";STELLANTIS;"SPACETOURER 2.0 BlueHDi FAP S&S (150ch) BVM6";GAZOLE;MINIBUS;1997;"MOYENNE INFERIEURE";7;106,000;;1660;0,06;MECANIQUE;6;7,218;8,191;6,039;7,298;5,722;6,763;7,599;8,630;6,652;7,725;;;;;;;189,29;214,82;158,35;191,38;150,04;177,35;199,29;226,34;174,43;202,58;0,028;;0,023;0,027;0,000;1735;1735;Malus;8254;35250
